Number,Number1,Number2,Zip,Number3,Number4,Number5,Number6,Latitude,Longitude,mn_earn_wne_male1_p6,count_nwne_p8,count_wne_p8,mn_earn_wne_p8,md_earn_wne_p8,HI_INC_WDRAW_4YR_TRANS_YR4_RT
107831,2569600,25696,72143,0,1,1,1,35.2377,-91.7345,PrivacySuppressed,22,70,16100,11300,NULL
107840,110500,1105,72114,0,1,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107877,110600,1106,72476,0,1,1,3,36.1268,-90.9399,31200,25,238,30200,28400,PrivacySuppressed
107974,2074600,20746,71731-7010,0,1,1,1,33.2094,-92.6661,33100,75,442,29100,25300,PrivacySuppressed
107983,110700,1107,71753,0,1,1,3,33.2912,-93.2351,30500,129,861,33300,31700,PrivacySuppressed
107992,773800,7738,71701-1906,0,1,1,1,33.6039,-92.839,31900,76,270,27700,24100,PrivacySuppressed
108065,3214300,32143,72202-5452,0,1,1,1,34.7357,-92.2898,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL
108092,111000,1110,72913-3649,0,1,1,3,35.3853,-94.3741,31800,366,1787,31400,28400,0.074257426
108232,753100,7531,94105,0,1,1,3,37.7877,-122.4007,34400,436,1678,41400,34200,0.050062578
108250,732971,7329,95670-6034,0,0,141,2,38.5917,-121.2815,35900,574,3762,38800,35100,PrivacySuppressed
108269,3288300,32883,94612,0,1,1,4,37.8067,-122.2727,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL
108348,2342400,23424,92647,0,1,1,1,33.7289,-117.9877,27500,46,215,27800,24800,0
108649,2258600,22586,94501,0,1,1,1,37.7642,-122.2436,PrivacySuppressed,30,72,22000,16700,0
108667,672000,6720,94501,0,1,1,2,37.7824,-122.2793,27400,220,644,32800,29000,PrivacySuppressed
108807,111100,1111,93454-6399,0,1,1,2,34.943,-120.4215,29200,277,987,30800,26800,0
108852,746501,7465,90028,0,0,2,2,34.0953,-118.3441,PrivacySuppressed,18,107,33600,26100,PrivacySuppressed
108861,112000,1120,94704-3029,0,1,1,4,37.8653,-122.2561,NULL,NULL,NULL,NULL,NULL,NULL
108870,2222000,22220,90027-1625,0,1,1,4,34.1085,-118.31,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0
108977,1307400,13074,91790,1,1,1,1,33.8844,-118.125,PrivacySuppressed,14,23,PrivacySuppressed,PrivacySuppressed,NULL
109040,2241800,22418,90004,0,1,3,1,34.0792,-118.2923,33500,615,2793,32200,29400,PrivacySuppressed
109086,2099200,20992,94108-5834,0,1,1,1,37.7873,-122.4049,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL
109208,123200,1232,95841-4286,0,1,1,1,38.6497,-121.346,29000,1133,2996,32300,26700,PrivacySuppressed
109332,1112100,11121,94541,0,1,1,1,37.6754,-122.0848,29400,559,1907,23800,20900,0
109350,111300,1113,93536-5426,0,1,1,2,34.6762,-118.1862,28900,599,1612,30300,25200,PrivacySuppressed
109651,111600,1116,91103,0,1,1,3,34.1708,-118.1869,48900,117,520,52800,48400,PrivacySuppressed
109721,902200,9022,90017-1604,0,1,1,1,34.056,-118.2724,24500,237,681,25600,22700,NULL
